1,10,17
2,1,3
3,6,18
4,7,15
5,12,5
6,4,16
7,2,20
8,11,13
9,14,8
10,19,9
11,3,10
12,13,6
13,18,19
14,17,14
15,20,7
16,16,11
17,15,12
18,5,2
19,9,4
20,8,1
21,10,11
22,15,16
23,5,3
24,20,1
25,12,14
26,7,17
27,19,4
28,18,13
29,6,9
30,2,8
31,11,2
32,14,19
33,1,7
34,9,18
35,8,20
36,4,5
37,3,15
38,17,6
39,13,12
40,16,10
41,6,4
42,12,1
43,19,13
44,5,9
45,2,14
46,18,16
47,10,8
48,15,17
49,7,3
50,20,11
51,4,2
52,16,6
53,14,7
54,1,15
55,11,18
56,3,19
57,9,20
58,17,5
59,13,10
60,8,12
61,17,9
62,14,1
63,20,12
64,7,2
65,13,16
66,8,3
67,10,15
68,11,4
69,18,5
70,19,6
71,15,20
72,12,7
73,9,11
74,1,18
75,5,19
76,4,13
77,3,14
78,6,8
79,16,17
80,2,10
81,13,7
82,4,3
83,18,2
84,19,15
85,17,8
86,9,1
87,5,20
88,6,10
89,11,12
90,16,14
91,14,18
92,12,19
93,2,6
94,20,4
95,7,5
96,3,16
97,8,13
98,1,17
99,10,9
100,15,11
101,18,20
102,16,2
103,4,8
104,11,14
105,19,7
106,9,12
107,5,10
108,6,15
109,13,1
110,17,3
111,15,13
112,14,4
113,20,6
114,12,16
115,10,19
116,1,11
117,7,18
118,3,9
119,2,17
120,8,5
121,18,10
122,16,1
123,13,14
124,19,2
125,4,12
126,11,7
127,9,8
128,6,3
129,17,20
130,5,15
131,15,14
132,9,13
133,1,6
134,7,10
135,5,11
136,3,18
137,8,16
138,20,19
139,12,2
140,17,4
141,14,9
142,19,17
143,13,3
144,16,7
145,2,15
146,10,20
147,18,12
148,4,1
149,11,8
150,6,5
151,15,18
152,12,6
153,1,10
154,9,16
155,20,14
156,5,13
157,3,2
158,8,19
159,17,11
160,7,4
161,14,5
162,13,17
163,11,3
164,19,1
165,4,15
166,6,7
167,10,12
168,18,8
169,16,20
170,2,9
171,14,10
172,13,2
173,11,6
174,9,15
175,16,19
176,8,7
177,1,5
178,4,18
179,17,12
180,3,20
181,18,17
182,2,1
183,20,13
184,12,3
185,10,4
186,6,14
187,5,16
188,19,11
189,7,9
190,15,8
191,7,1
192,10,16
193,12,13
194,15,3
195,18,9
196,19,14
197,20,8
198,2,11
199,5,4
200,6,17
201,3,5
202,1,20
203,11,10
204,9,6
205,4,19
206,17,7
207,16,15
208,8,2
209,14,12
210,13,18
211,13,19
212,3,7
213,17,15
214,11,20
215,1,12
216,9,5
217,4,6
218,8,10
219,14,2
220,16,18
221,19,3
222,18,11
223,15,1
224,12,8
225,20,9
226,10,13
227,7,14
228,5,17
229,6,16
230,2,4
231,12,17
232,2,13
233,7,8
234,5,1
235,10,14
236,19,16
237,15,9
238,20,3
239,18,4
240,6,11
241,16,5
242,14,6
243,13,20
244,11,19
245,17,18
246,9,7
247,8,15
248,3,12
249,4,10
250,1,2
251,15,10
252,12,20
253,6,19
254,16,13
255,1,14
256,5,18
257,4,11
258,2,7
259,3,8
260,9,17
261,18,1
262,7,12
263,14,3
264,20,15
265,13,4
266,19,5
267,11,9
268,10,2
269,17,16
270,8,6
271,15,5
272,12,4
273,1,13
274,7,19
275,3,6
276,10,18
277,8,9
278,14,11
279,2,16
280,20,17
281,18,7
282,17,2
283,16,12
284,13,15
285,11,1
286,9,3
287,4,14
288,6,20
289,5,8
290,19,10
291,15,6
292,14,13
293,12,9
294,10,5
295,1,16
296,20,18
297,3,17
298,2,19
299,8,4
300,7,11
301,17,1
302,19,12
303,16,3
304,13,8
305,4,20
306,6,2
307,5,7
308,18,14
309,9,10
310,11,15
311,15,19
312,14,16
313,12,11
314,10,6
315,20,5
316,1,9
317,8,17
318,7,13
319,3,4
320,2,18
321,13,11
322,18,6
323,17,10
324,16,4
325,3,1
326,15,7
327,20,2
328,9,19
329,5,12
330,8,14
331,7,20
332,12,15
333,11,16
334,10,3
335,1,8
336,14,17
337,19,18
338,6,13
339,4,9
340,2,5
341,17,19
342,15,2
343,12,18
344,9,14
345,1,4
346,8,11
347,20,10
348,7,16
349,5,6
350,3,13
351,16,8
352,14,15
353,13,9
354,11,5
355,19,20
356,2,12
357,10,7
358,4,17
359,6,1
360,18,3
361,15,4
362,12,10
363,9,2
364,8,18
365,17,13
366,7,6
367,5,14
368,1,19
369,3,11
370,20,16
371,16,9
372,2,3
373,14,20
374,19,8
375,13,5
376,11,17
377,10,1
378,6,12
379,4,7
380,18,15
